model_name,model_year,kms_driven,owner,location,mileage,power,price
KTM RC,2017,12500,first owner,mumbai,35.0,25.1,129687
KTM RC,2019,12000,first owner,mumbai,35.0,25.1,181562
Bajaj V15,2017,26000,second owner,delhi,57.0,11.8,32000
Royal Enfield Classic,2021,4500,first owner,mumbai,35.0,19.1,228250
Bajaj V15,2017,24853,second owner,delhi,57.0,11.8,30144
TVS Sport,2016,18986,first owner,delhi,95.0,7.4,27000
Hero Splendor iSmart,2017,35000,first owner,delhi,55.0,9.3,35000
Yamaha YZF-R15 2.0,2014,30000,second owner,ahmedabad,42.0,16.7,68000
Bajaj Pulsar,2010,53000,first owner,mumbai,65.0,15.0,19000
Bajaj Pulsar,2011,5000,first owner,delhi,65.0,15.0,22100
Hero Passion Xpro,2015,17500,first owner,delhi,55.0,6.72,31000
Bajaj Pulsar 220F,2012,18500,first owner,delhi,38.0,21.0,25000
Hero Splendor iSmart,2016,18500,first owner,delhi,55.0,9.3,33000
Yamaha FZs,2015,15000,first owner,delhi,45.0,13.0,48500
Yamaha FZs,2014,25000,first owner,delhi,45.0,13.0,38000
Bajaj V15,2017,38456,first owner,jaipur,57.0,11.8,32250
Bajaj Pulsar,2020,85000,first owner,jaipur,62.0,11.64,61000
Bajaj Pulsar NS200,2015,26500,first owner,delhi,40.0,24.2,57612
Hero Xpulse,2020,9200,first owner,bangalore,46.4,17.8,102000
Royal Enfield Classic,2017,42000,first owner,sadabad,35.0,19.8,135000
Suzuki Gixxer,2019,1100,first owner,bangalore,63.0,14.0,125000
KTM Duke,2018,24000,first owner,unnao,25.0,42.9,205000
KTM RC 125CC,2020,97000,fourth owner or more,bangalore,45.0,14.5,68000
Suzuki Inazuma,2014,17500,first owner,pune,30.0,24.0,140000
KTM Duke,2017,7500,first owner,pune,35.0,24.6,127500
Bajaj Pulsar,2011,34000,first owner,mumbai,38.0,21.0,30000
Bajaj Pulsar,2011,7000,first owner,mumbai,65.0,15.0,24200
UM Renegade Commando,2018,15000,first owner,gurgaon,35.0,24.8,97950
Royal Enfield Thunderbird,2018,9404,first owner,delhi,40.0,19.8,136000
Bajaj Platina Alloy,2018,9423,first owner,bangalore,90.0,8.1,52000
Royal Enfield Classic,2018,14000,first owner,delhi,35.0,19.8,156000
KTM Duke,2020,1900,first owner,delhi,25.0,42.9,277466
KTM RC,2018,95000,fourth owner or more,bangalore,35.0,25.1,79000
Royal Enfield Classic,2018,20100,first owner,kolkata,32.0,27.2,145000
Royal Enfield Classic,2014,44000,first owner,delhi,35.0,19.8,100000
Bajaj Pulsar 200,2014,50000,first owner,mumbai,40.0,24.2,50000
Yamaha FZ25,2018,13000,first owner,mumbai,43.0,20.3,128600
Mahindra Mojo Black,2020,1600,first owner,kolkata,25.0,25.35,185000
KTM Duke,2016,65000,fourth owner or more,sirsa,35.0,24.6,54000
Bajaj CT 100,2006,11900,second owner,chennai,89.0,8.1,20000
Hero Super Splendor,2019,19000,first owner,saharanpur,75.0,9.0,56000
Royal Enfield Classic,2018,24212,first owner,faridabad,32.0,27.2,112546
Honda CBR 150R,2013,28200,second owner,pune,38.0,18.28,49000
Bajaj Pulsar,2016,27000,first owner,delhi,38.0,21.0,57100
Royal Enfield Classic,2013,19060,first owner,thane,32.0,27.2,85000
Royal Enfield Classic,2020,1387,first owner,kolkata,35.0,19.1,175000
Bajaj Avenger Cruise,2017,17000,first owner,chandigarh,35.0,19.0,65000
Yamaha YZF-R15 2.0,2012,42000,first owner,bangalore,42.0,16.7,56600
Royal Enfield Classic,2018,25000,first owner,faridabad,35.0,19.8,136300
Husqvarna Svartpilen 250,2020,3000,first owner,delhi,31.85,29.63,205000
Yamaha YZF-R15 2.0,2016,21000,first owner,delhi,42.0,16.7,85000
Royal Enfield Classic,2016,13000,first owner,delhi,35.0,19.8,105000
Bajaj Avenger Street,2017,10800,first owner,delhi,53.0,19.0,50000
Royal Enfield Himalayan,2020,10150,first owner,jabalpur,32.0,24.3,201000
Hero Splendor Pro,2015,33000,first owner,bangalore,81.0,8.2,33000
Yamaha YZF-R3,2020,216,first owner,chennai,22.0,41.4,300000
Bajaj Pulsar,2019,78000,fourth owner or more,jaipur,38.0,21.0,41000
Triumph Street Triple,2016,32300,second owner,ghaziabad,20.0,77.0,490000
Yamaha YZF-R15 V3,2020,1300,first owner,faridabad,40.0,18.7,155000
Royal Enfield Classic,2015,16200,first owner,kanpur nagar,35.0,19.8,115000
Bajaj Pulsar 220F,2021,1700,first owner,hyderabad,38.5,20.11,150000
Hero Passion Plus,2007,80000,first owner,sehore,55.0,7.5,20000
Kawasaki Ninja 650,2018,12000,first owner,hyderabad,21.0,67.2,526300
Royal Enfield Classic,2017,11000,first owner,faridabad,35.0,19.8,110000
Hyosung GT650R 2013,2013,19563,first owner,bangalore,20.0,72.68,190000
Hyosung GT250R 2016,2016,4000,first owner,delhi,30.0,28.0,230000
Hyosung GT250R 2016,2016,16500,first owner,ranchi,30.0,28.0,210900
Bajaj V15,2019,6909,first owner,faridabad,57.0,11.8,46350
Hero CBZ Xtreme,2014,50000,second owner,hyderabad,65.0,14.4,17958
Harley-Davidson Street 750,2014,45141,second owner,ranchi,20.0,47.0,335000
Hero Passion Pro,2015,38000,first owner,pune,84.0,8.2,47000
Hero HF Deluxe,2014,31281,first owner,jaipur,83.0,7.7,30600
Royal Enfield Classic,2017,20000,first owner,noida,35.0,19.8,119100
TVS Apache RR310,2019,5000,first owner,nalbari,22.0,33.0,210000
Honda CBR 150R,2013,17000,first owner,mumbai,38.0,18.28,45000
KTM RC,2020,98000,fourth owner or more,bangalore,35.0,24.6,93000
Ducati Monster 797,2017,3000,first owner,delhi,18.86,75.0,625000
Suzuki Gixxer SF,2017,8000,first owner,ahmedabad,40.0,14.6,67000
Bajaj Pulsar 135LS,2010,80000,second owner,hyderabad,64.0,13.0,23000
Royal Enfield Bullet,2011,46668,first owner,hyderabad,40.0,19.8,84000
Bajaj Pulsar,2015,44000,first owner,gurgaon,45.0,17.0,32000
Royal Enfield‎ Bullet,1990,30000,third owner,bareilly,37.0,19.8,120000
Yamaha RX135,2000,45000,second owner,uthagamandalam,35.0,14.0,125000
Royal Enfield Electra,2016,11786,second owner,delhi,25.0,19.8,85000
Hero Splendor Plus,2016,12962,first owner,bhopal,81.0,8.2,45000
KTM RC,2017,25000,first owner,vadodara,26.0,42.3,189100
Yamaha YZF-R15 2.0,2013,48000,first owner,mumbai,42.0,16.7,50000
KTM RC,2017,89000,fourth owner or more,jaipur,26.0,42.3,94000
Bajaj Avenger,2013,18000,first owner,delhi,40.0,19.0,35000
Royal Enfield Classic,2017,17000,first owner,rajkot,35.0,19.8,138000
Royal Enfield Classic,2020,12000,first owner,pune,35.0,19.1,190000
Husqvarna Svartpilen 250,2020,2800,first owner,bangalore,31.85,29.63,230000
Hero Passion Pro,2017,23000,second owner,bangalore,5.0,8.2,44000
Royal Enfield Classic,2019,4192,first owner,namakkal,32.0,27.2,210800
Hero Karizma R,2013,48000,second owner,rajkot,40.0,17.0,24800
Yamaha YZF-R15,2014,45000,first owner,gurgaon,42.0,16.0,65000
Bajaj Avenger Street,2016,25045,second owner,nanauta,50.0,14.3,52200
Bajaj Pulsar 220F,2011,89000,third owner,bangalore,38.0,21.0,38000
Bajaj Pulsar,2014,89000,third owner,jaipur,38.0,21.0,35000
Suzuki Intruder M800,2015,15600,third owner,pune,22.0,50.0,475000
Suzuki Gixxer,2017,15600,first owner,hyderabad,63.0,14.0,62000
Royal Enfield Classic,2018,7600,first owner,ludhiana,35.0,19.8,130000
Yamaha YZF-R3,2018,17800,first owner,delhi,22.0,41.4,290000
Royal Enfield Classic,2014,26100,first owner,hyderabad,32.0,27.2,90950
Yamaha YZF-R3,2017,42000,first owner,cuttack,22.0,41.4,200000
Kawasaki Ninja,2018,22500,first owner,delhi,21.0,67.2,433000
Royal Enfield Classic,2017,26877,first owner,delhi,35.0,19.8,110000
Royal Enfield Classic,2017,7800,first owner,coimbatore,35.0,19.8,138500
Bajaj Pulsar 220F,2018,49000,first owner,patna,38.0,21.0,67000
Bajaj Avenger,2013,17200,first owner,chennai,40.0,19.0,34000
Yamaha FZs,2018,36867,first owner,bangalore,45.0,13.0,85000
Hero Splendor Plus,2017,31000,first owner,ahmedabad,55.0,8.2,46000
Royal Enfield Classic,2019,7000,first owner,gurgaon,35.0,19.8,141300
Royal Enfield Thunderbird,2015,18000,first owner,noida,40.0,19.8,85000
Yamaha YZF-R15,2011,12000,first owner,sonipat,42.0,16.0,48000
Royal Enfield Thunderbird,2017,10000,first owner,chennai,40.0,19.8,120000
Benelli TNT 300,2020,4500,first owner,delhi,25.0,37.73,295000
Suzuki Intruder M1800R,2014,22000,first owner,delhi,13.0,127.0,925000
KTM RC,2017,16000,second owner,rajkot,35.0,25.1,125000
Royal Enfield Classic,2016,17000,first owner,rajkot,35.0,19.8,125000
Royal Enfield Classic,2017,17000,first owner,rajkot,35.0,19.8,139500
KTM RC,2014,13000,first owner,delhi,26.0,43.0,115000
Yamaha YZF-R15 2.0,2013,26000,second owner,jodhpur,42.0,16.7,65000
KTM Duke,2017,17000,first owner,mumbai,35.0,24.6,125000
Bajaj Discover 125ST,2012,43000,first owner,moradabad,65.0,12.5,28000
Bajaj Pulsar 220F,2017,16200,first owner,gurgaon,38.0,21.0,60000
Bajaj Pulsar AS150,2016,40000,first owner,kolkata,53.0,16.8,42600
Royal Enfield Classic,2018,5000,first owner,delhi,35.0,19.8,138200
Royal Enfield Thunderbird,2018,17225,first owner,delhi,40.0,19.8,126500
Hero Super Splendor,2005,123,first owner,pune,75.0,9.0,11250
Royal Enfield Bullet,2013,21200,first owner,surat,37.0,19.8,115000
Yamaha FZs,2016,18000,second owner,delhi,45.0,13.0,48500
Royal Enfield Thunderbird,2015,8000,first owner,pune,40.0,19.8,160000
TVS Apache RR310,2020,2900,first owner,sambalpur,22.0,33.0,220000
Yamaha FZs,2009,8000,first owner,bangalore,45.0,13.0,35000
Bajaj Avenger,2016,41615,first owner,pune,40.0,19.0,65000
KTM RC,2018,8000,first owner,mumbai,35.0,25.1,140000
Royal Enfield Thunderbird,2015,31500,first owner,jaipur,25.0,27.2,99000
Royal Enfield Thunderbird,2016,31811,first owner,surat,40.0,19.8,110000
KTM RC,2015,104000,first owner,rupnagar,35.0,25.0,90000
Royal Enfield Thunderbird,2015,5000,first owner,ghaziabad,40.0,19.8,103800
Bajaj Avenger Cruise,2020,2850,first owner,bangalore,35.0,18.76,135000
Hero Passion Plus,2006,93000,first owner,bangalore,55.0,7.5,17000
Hero Splendor NXG,2016,23915,first owner,pune,65.0,7.0,50000
Bajaj Discover,2012,34000,first owner,mumbai,65.0,12.5,22825
Royal Enfield Classic,2019,5966,first owner,mumbai,35.0,19.8,181563
Royal Enfield Classic,2016,13000,first owner,mumbai,35.0,19.8,181563
Hero Karizma R,2014,37000,first owner,mumbai,40.0,17.0,35999
KTM Duke,2016,19000,second owner,delhi,35.0,24.6,115000
Hero Glamour i3s,2020,9500,first owner,kolkata,55.0,10.72,67500
Royal Enfield Classic,2018,18000,first owner,darbhanga,35.0,19.8,125000
Royal Enfield Thunderbird,2015,26250,first owner,mysore,40.0,19.8,125000
Harley-Davidson Street 750,2019,3000,first owner,mumbai,20.0,47.0,440000
Hero Passion Pro,2010,17900,first owner,ajmer,5.0,8.2,21000
Royal Enfield Bullet,2008,44000,first owner,ludhiana,30.0,19.8,65000
Yamaha YZF-R15 2.0,2011,18550,first owner,delhi,42.0,16.7,44800
Hero Honda Splendor,2011,30000,first owner,ranchi,60.0,6.15,30000
Royal Enfield Classic,2019,27000,first owner,medak,35.0,19.8,175000
Royal Enfield Classic,2015,26060,first owner,chennai,32.0,27.2,100000
Bajaj CT 100,2019,7000,first owner,saharanpur,67.0,8.1,39000
Royal Enfield Classic,2019,18800,first owner,udaipur,32.0,27.2,190000
Bajaj Avenger,2015,34500,first owner,lucknow,40.0,19.0,70000
Royal Enfield Classic,2019,3000,first owner,delhi,35.0,27.2,193193
Royal Enfield Thunderbird,2014,60000,first owner,ahmedabad,40.0,19.8,90000
Bajaj Discover 125ST,2012,55000,first owner,pune,65.0,12.5,25000
Yamaha FZs,2013,32200,first owner,mumbai,45.0,13.0,33200
Yamaha YZF-R15 2.0,2014,18000,fourth owner or more,bangalore,42.0,16.7,57541
Royal Enfield Classic,2015,65000,first owner,jaipur,35.0,19.8,110000
Bajaj Avenger Street,2020,6300,first owner,vaijapur,53.72,14.79,100000
Royal Enfield Classic,2015,24000,first owner,thiruvananthapuram,35.0,19.8,120500
Royal Enfield Classic,2020,9200,first owner,vijayawada,35.0,19.1,179000
Hero CD Deluxe,2010,80000,first owner,ludhiana,65.0,7.7,24999
Royal Enfield Thunderbird,2015,15000,second owner,bangalore,40.0,19.8,100000
KTM Duke,2017,30000,first owner,mumbai,35.0,24.6,105000
Royal Enfield Classic,2019,20000,first owner,indore,35.0,19.8,165000
Harley-Davidson Street Rod,2019,14000,second owner,chennai,25.0,70.0,575000
Royal Enfield Classic,2015,31000,second owner,pune,35.0,19.8,140000
TVS Sport,2014,43808,first owner,jaipur,95.0,7.4,18000
Royal Enfield Continental,2015,10000,second owner,jaipur,26.0,29.1,88057
KTM Duke,2014,33000,first owner,delhi,25.0,44.0,60000
Harley-Davidson Street Bob,2014,42500,first owner,hyderabad,18.0,65.0,550000
Hero Super Splendor,2015,37000,first owner,delhi,75.0,9.0,33200
Hero Super Splendor,2006,70884,first owner,lucknow,75.0,9.0,20000
Bajaj Avenger Street,2016,21200,second owner,bangalore,53.0,19.0,58000
KTM RC,2018,9500,first owner,patna,35.0,25.1,120000
Royal Enfield Classic,2017,12177,first owner,bangalore,32.0,27.2,127500
Royal Enfield Thunderbird,2015,14000,first owner,bangalore,40.0,19.8,90000
Royal Enfield Himalayan,2016,21900,first owner,gurgaon,32.0,24.5,110000
Kawasaki Z800 2017,2017,25225,first owner,bangalore,16.0,111.0,675000
Harley-Davidson Street 750,2016,1700,first owner,ahmedabad,20.0,47.0,265000
Honda CBR 150R,2013,18950,first owner,kakinada,38.0,18.28,55000
Royal Enfield Thunderbird,2006,26000,first owner,mysore,30.0,19.8,70000
Harley-Davidson Street Bob,2017,43000,first owner,gurgaon,18.0,65.0,850000
Honda CBR1000RR Fireblade,2019,1590,first owner,delhi,16.0,186.3,1490000
Bajaj Avenger Cruise,2016,19400,first owner,gharghoda,35.0,19.0,76000
Hero Splendor Plus,2018,7400,first owner,udaipur,81.0,8.2,41900
Bajaj CT 100,2017,36000,fourth owner or more,delhi,89.0,8.1,25000
Royal Enfield Thunderbird,2015,28395,first owner,burla,40.0,19.8,102000
Suzuki Gixxer SF,2021,900,first owner,delhi,40.0,14.6,123100
Kawasaki Z650 2020,2020,2500,first owner,delhi,30.0,66.4,528425
Royal Enfield Classic,2018,46000,first owner,chitradurga,35.0,19.8,160000
Hero Splendor Plus,2013,30000,first owner,pune,81.0,8.2,34874
Royal Enfield Classic,2015,33000,first owner,bangalore,32.0,27.2,132100
Bajaj Avenger Street,2016,30000,first owner,mumbai,50.0,14.3,37500
Triumph Street Twin,2018,22000,first owner,coimbatore,20.0,54.2,580000
TVS Star Sport,2016,20000,second owner,padrauna,95.0,7.4,20100
Royal Enfield Classic,2015,25350,first owner,bangalore,35.0,19.8,103900
Bajaj Pulsar,2014,38000,third owner,mumbai,38.0,21.0,38000
Royal Enfield Thunderbird,2012,22000,second owner,mumbai,40.0,19.8,80000
Royal Enfield Classic,2017,12000,first owner,rajkot,35.0,19.8,141290
Royal Enfield Classic,2015,15000,third owner,rajkot,35.0,19.8,122883
Hero HF Deluxe,2020,1000,first owner,delhi,55.0,7.91,63500
Kawasaki Z650 2019,2019,3100,first owner,bangalore,30.0,67.2,600000
Royal Enfield Himalayan,2016,15000,first owner,mumbai,32.0,24.5,120000
TVS Apache RR310,2020,5200,first owner,madhubani,22.0,33.0,227000
Hero Passion Pro,2015,27800,second owner,hyderabad,84.0,8.2,47000
Royal Enfield Classic,2016,27600,first owner,gurgaon,35.0,19.8,112600
Hero CBZ Xtreme,2010,90000,first owner,durg,65.0,14.4,24999
Royal Enfield Bullet,2011,35000,first owner,mumbai,40.0,19.8,50000
Honda Dream Yuga,2015,31000,first owner,chennai,84.0,8.0,33000
Suzuki Gixxer SF,2017,19979,first owner,bangalore,40.0,14.6,75000
Benelli TNT 300,2017,10000,first owner,mumbai,25.0,37.73,259375
Suzuki Gixxer SF,2019,10000,first owner,bangalore,40.0,14.6,98000
Hero Splendor Plus,2015,26000,second owner,gurgaon,81.0,8.2,30500
Royal Enfield Classic,2018,10115,first owner,chandigarh,35.0,19.8,167000
Bajaj V15,2017,19400,first owner,delhi,57.0,11.8,38000
Hero Splendor Plus,2014,27000,second owner,ahmedabad,81.0,8.2,35880
Hero Splendor Plus,2017,27000,first owner,delhi,81.0,8.2,45000
Hero Hunk,2009,20000,second owner,delhi,53.0,14.0,28000
Bajaj Pulsar,2015,17000,first owner,delhi,38.0,21.0,50000
KTM RC 125CC,2019,8800,first owner,mumbai,45.0,14.5,150500
Hero Passion Plus,2009,22500,first owner,ludhiana,55.0,7.5,20000
Royal Enfield Classic,2014,19500,first owner,chennai,32.0,27.2,120000
Hero Passion Pro,2009,49660,first owner,delhi,5.0,8.2,18600
Royal Enfield Classic,2015,25000,first owner,bangalore,35.0,19.8,112000
KTM RC,2018,10000,first owner,hyderabad,35.0,25.1,160700
UM Renegade Commando,2018,9513,first owner,delhi,35.0,25.0,124950
Hero Glamour Fi,2017,17200,second owner,jaipur,55.0,9.0,33000
UM Renegade Sport,2017,30000,first owner,bhubaneshwar,35.0,24.8,100000
UM Renegade Commando,2017,17141,first owner,gurgaon,35.0,24.8,96050
Hero Passion Plus,2006,49000,first owner,raigarh(mh),55.0,7.5,10669
Royal Enfield Bullet,2013,14250,first owner,ghaziabad,40.0,19.8,81200
Bajaj Pulsar 200,2014,12700,first owner,valsad,40.0,24.2,45900
Royal Enfield Thunderbird,2013,45000,first owner,nadiad,40.0,19.8,70000
Royal Enfield Electra,2014,30000,first owner,delhi,37.0,19.0,78000
TVS Apache RR310,2019,3600,first owner,mumbai,22.0,33.0,210000
UM Renegade Commando,2017,9000,first owner,madurai,35.0,24.8,127200
Bajaj Avenger Street,2016,34000,first owner,ahmedabad,53.0,19.0,57900
UM Renegade Sport,2018,5450,first owner,delhi,35.0,24.8,122600
Royal Enfield Bullet,2010,50000,first owner,sonipat,40.0,19.8,65900
Royal Enfield Bullet,2009,36324,first owner,ghaziabad,30.0,19.8,49834
Suzuki Gixxer,2019,14100,first owner,kolkata,63.0,14.0,74700
Royal Enfield Classic,2018,25050,first owner,delhi,32.0,27.2,135000
Hero Glamour Programed,2019,2000,first owner,khariar,55.0,6.72,75000
Bajaj Pulsar,2009,65000,second owner,delhi,38.0,21.0,18400
Bajaj Avenger Street,2016,20452,first owner,coimbatore,50.0,14.3,45000
Bajaj Avenger,2013,10000,second owner,mumbai,40.0,19.0,33600
Royal Enfield Classic,2017,9800,first owner,mohali,35.0,19.8,110000
Royal Enfield Classic,2017,11000,first owner,delhi,35.0,19.8,119900
Royal Enfield Classic,2018,14000,first owner,chennai,32.0,27.2,160000
Triumph Thunderbird LT,2015,16000,first owner,faridabad,12.0,93.0,1025000
Hero Xtreme 200R,2019,43500,first owner,faridabad,39.4,18.1,75000
Royal Enfield Classic,2018,7500,first owner,delhi,35.0,19.8,125000
Yamaha YZF-R15 2.0,2014,63000,first owner,ahmedabad,42.0,16.7,62600
Yamaha FZ25,2019,2200,first owner,delhi,43.0,20.3,145000
Yamaha FZs,2015,35000,first owner,panvel,45.0,13.0,52000
Royal Enfield Bullet,2007,57877,second owner,faridabad,30.0,19.8,53600
Royal Enfield Thunderbird,2014,17500,first owner,surat,25.0,27.2,119500
Royal Enfield Classic,2015,9000,first owner,delhi,35.0,19.8,104000
Royal Enfield Classic,2012,19000,first owner,delhi,32.0,27.2,106667
Royal Enfield Bullet,2007,35000,first owner,delhi,30.0,19.8,62500
Bajaj Avenger Street,2017,36000,first owner,bangalore,45.0,14.3,58800
Royal Enfield Thunderbird,2017,15000,first owner,kanpur,40.0,19.8,122000
Bajaj Avenger,2018,8500,first owner,thane,40.0,19.0,77900
Bajaj Avenger Street,2016,14785,first owner,bangalore,50.0,14.3,58150
Royal Enfield Classic,2016,18000,first owner,delhi,35.0,19.8,114200
Bajaj Pulsar,2011,26000,first owner,bhiwani,65.0,15.0,23455
Bajaj Pulsar,2009,12000,first owner,bhiwani,65.0,15.0,16444
Royal Enfield Classic,2016,18800,first owner,delhi,35.0,19.8,115600
Ducati Diavel Carbon,2017,6000,first owner,maradu,12.0,159.7,1200000
Royal Enfield Classic,2017,14000,first owner,mumbai,35.0,19.8,123000
UM Renegade Commando,2017,6500,second owner,pune,35.0,25.0,132700
Bajaj Platina 110,2020,7200,first owner,delhi,84.0,8.44,65000
Royal Enfield Thunderbird,2017,25770,first owner,agra,40.0,19.8,117200
Bajaj Avenger Cruise,2019,12915,first owner,delhi,35.0,19.0,78800
Hero Karizma ZMR,2019,9000,first owner,kolkata,48.0,20.0,84400
Yamaha FZS-FI V,2020,7550,first owner,washim,58.0,12.2,92500
Bajaj Discover,2008,62000,first owner,delhi,65.0,9.64,15000
Yamaha FZ25,2018,12541,first owner,bangalore,43.0,20.3,110000
Bajaj Pulsar,2016,35000,first owner,ahmedabad,65.0,17.0,50200
UM Renegade Commando,2018,5000,first owner,delhi,35.0,24.8,120000
Hero Passion XPRO,2014,42000,first owner,jaipur,55.0,6.72,30000
Bajaj Pulsar AS150,2015,16834,first owner,bangalore,53.0,16.8,58000
KTM RC,2015,13933,first owner,delhi,35.0,25.0,160000
Hero Splendor Plus,2019,7945,first owner,delhi,55.0,8.2,62000
Yamaha YZF-R15 2.0,2014,68500,second owner,delhi,42.0,16.7,68500
Hero Passion Pro,2011,20000,first owner,mumbai,5.0,8.2,28838
Suzuki Gixxer SF,2017,15000,first owner,delhi,40.0,14.6,60000
Royal Enfield Classic,2018,10000,first owner,delhi,35.0,19.8,134600
Hero Passion Plus,2008,50183,second owner,hyderabad,55.0,7.5,29500
Royal Enfield Continental,2017,5520,first owner,delhi,26.0,29.1,138000
Royal Enfield Bullet,2016,39000,first owner,baran,37.0,19.8,92200
Benelli TNT 300,2020,13000,first owner,belgaum,25.0,37.73,315000
Royal Enfield Classic,2015,16000,first owner,delhi,35.0,19.8,108000
Royal Enfield Classic,2017,2200,first owner,delhi,35.0,19.8,135000
Royal Enfield Thunderbird,2015,22000,first owner,pune,25.0,27.2,133100
Royal Enfield Classic,2017,24857,first owner,mumbai,25.0,27.2,159700
Bajaj V12,2018,17000,first owner,chhindwara,57.0,12.0,60000
Bajaj Avenger,2011,19000,first owner,ghaziabad,40.0,19.0,28300
Royal Enfield Thunderbird,2014,27746,first owner,bangalore,40.0,19.8,112000
Royal Enfield Thunderbird,2014,30300,first owner,delhi,40.0,19.8,97900
KTM Duke,2019,8265,first owner,bangalore,25.0,42.9,280000
Yamaha YZF-R15 2.0,2016,24528,first owner,delhi,42.0,16.7,72000
Benelli TNT 899,2015,3174,first owner,jajpur,17.0,119.37,569400
Suzuki Gixxer,2017,16000,first owner,gurgaon,63.0,14.0,47000
Yamaha FZs,2013,48000,first owner,delhi,45.0,13.0,38700
Honda CB Trigger,2014,33700,first owner,hyderabad,60.0,14.0,42000
Yamaha YZF-R15 2.0,2012,46000,first owner,mumbai,42.0,16.7,48300
Harley-Davidson Street 750,2016,5838,first owner,coimbatore,20.0,47.0,390000
Bajaj Avenger,2015,15495,first owner,gurgaon,40.0,19.0,35000
Bajaj CT 100,2019,4000,first owner,delhi,67.0,8.1,45000
Royal Enfield Classic,2018,11277,first owner,hyderabad,32.0,27.2,175000
Kawasaki Ninja 300,2019,1750,first owner,kanpur,25.0,39.0,290000
Yamaha YZF-R15 2.0,2013,25000,first owner,delhi,42.0,16.7,52300
Bajaj Avenger Street,2018,16757,first owner,bangalore,53.0,19.0,78000
Royal Enfield Classic,2013,46031,first owner,jind,35.0,19.8,74600
Harley-Davidson Street 750,2016,5400,second owner,pune,20.0,47.0,360200
Hero Super Splendor,2017,33000,first owner,ghaziabad,75.0,9.0,40000
KTM Duke,2015,25000,second owner,mumbai,35.0,25.0,73600
Bajaj Pulsar,2015,67000,first owner,mumbai,38.0,21.0,41400
Bajaj V15,2017,5000,first owner,ajmer,57.0,11.8,50000
Suzuki Gixxer SF,2015,15000,first owner,bangalore,40.0,14.6,60000
Hero Glamour,2012,28000,second owner,sultanpur,55.0,8.9,24500
Bajaj Avenger,2016,22500,second owner,bangalore,40.0,19.0,85000
Royal Enfield Classic,2012,24800,first owner,malappuram,32.0,27.2,125000
Hero Passion Pro,2017,12771,first owner,ernakulam,5.0,8.2,29339
Kawasaki Z650 2020,2020,2000,first owner,kalyan,30.0,67.2,540000
Royal Enfield Classic,2014,60000,first owner,ludhiana,35.0,19.8,107000
Royal Enfield Classic,2016,17340,first owner,gurgaon,35.0,19.8,120000
Yamaha YZF-R15 S,2016,30000,first owner,pune,42.0,16.0,59250
Hyosung Aquila GV250,2016,13500,first owner,nagpur,27.0,26.21,155000
Bajaj V15,2018,16000,first owner,gwalior,57.0,11.8,45000
Bajaj Avenger,2011,21045,second owner,bangalore,40.0,19.0,35000
Royal Enfield Classic,2012,24800,first owner,malappuram,32.0,27.2,125500
Bajaj Avenger,2013,15628,first owner,gurgaon,40.0,19.0,40000
Bajaj Avenger Street,2017,29500,first owner,hyderabad,53.0,19.0,68000
UM Renegade Commando,2017,7000,first owner,bangalore,35.0,24.8,115000
Royal Enfield Bullet,2008,50000,first owner,delhi,30.0,19.8,125000
Royal Enfield Classic,2017,23700,first owner,delhi,35.0,19.8,121000
Royal Enfield Thunderbird,2019,16000,first owner,delhi,40.0,19.8,163600
Bajaj Avenger,2017,14000,first owner,hyderabad,40.0,19.0,80000
Royal Enfield Classic,2018,4700,first owner,kolkata,35.0,19.8,145100
Bajaj Pulsar,2012,14000,second owner,bangalore,45.0,17.0,39000
Bajaj Avenger,2013,30000,first owner,mumbai,40.0,19.0,44000
Royal Enfield Classic,2012,7630,first owner,chandigarh,32.0,27.2,97700
Bajaj Pulsar 220F,2020,9000,first owner,vadodara,38.5,20.11,125100
KTM Duke,2019,16000,first owner,mangalore,25.0,42.9,290000
KTM RC,2015,5500,first owner,thane,35.0,25.0,120000
Royal Enfield Thunderbird,2018,4700,second owner,gurgaon,25.0,27.2,155000
Yamaha FZs,2016,13887,first owner,bangalore,45.0,13.0,58727
Hero Passion,2005,98000,first owner,barasat,55.0,7.5,38000
Hero Xtreme,2014,54000,first owner,gandhinagar,50.0,14.2,22300
Royal Enfield Thunderbird,2013,33300,first owner,bangalore,25.0,27.2,140000
Hero Splendor iSmart,2015,21699,first owner,jaipur,55.0,8.2,38000
Bajaj Pulsar,2011,25000,first owner,ichalkaranji,38.0,21.0,80000
Bajaj Avenger Street,2017,28000,first owner,hyderabad,45.0,14.3,58200
Bajaj Pulsar,2016,10446,second owner,delhi,38.0,21.0,80999
Suzuki Gixxer,2015,41000,first owner,ghaziabad,63.0,14.0,41300
Harley-Davidson Street 750,2016,5900,first owner,dehradun,20.0,47.0,350000
Royal Enfield Himalayan,2019,8000,first owner,chandigarh,32.0,24.5,170000
KTM Duke,2020,4000,first owner,delhi,35.0,24.6,180000
Hero Karizma R,2011,23300,first owner,kolkata,40.0,17.0,30000
KTM Duke,2018,5610,first owner,delhi,25.0,42.9,195000
Bajaj Pulsar,2013,34000,first owner,phagwara,65.0,15.0,31000
Royal Enfield Classic,2017,6000,first owner,delhi,35.0,19.8,130000
KTM RC,2016,10000,first owner,pune,26.0,42.3,160000
Royal Enfield Classic,2012,10635,third owner,bangalore,32.0,27.2,90000
